Requirement,Type
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- School and pedestrian: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- School and pedestrian: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- School and pedestrian: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- School and pedestrian: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Delineators and post mounted delineators: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Delineators and post mounted delineators: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Delineators and post mounted delineators: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Delineators and post mounted delineators: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Parking and stopping: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Parking and stopping: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Parking and stopping: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Parking and stopping: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Guardrail reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Guardrail reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Guardrail reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Guardrail reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Animal reflectors: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Animal reflectors: 24h",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Animal reflectors: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Animal reflectors: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Direction (guide): 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Direction (guide): 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Direction (guide): 3d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Direction (guide): 3d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Information: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Information: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Information: 3d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Information: 3d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- Service and attraction: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- Service and attraction: 2d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- Service and attraction: 3d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- Service and attraction: 3d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Mainline
- All other signs and surface reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Ramps
- All other signs and surface reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Paved Service Roads
- All other signs and surface reflectors: 7d",O&M
"Establish the maximum time within which Project Co shall complete the cleaning, resetting, repair, and/or relocation of sign systems, reflectors and post mounted delineators:

Type of Sign marking  (In accordance with the Saskatchewan Traffic Control Devices Manual ): Crossroads
- All other signs and surface reflectors: 7d",O&M
"Ensure vegetation beyond the shoulder edge does not:
- Obscure the visibility of signs, delineators, animal reflectors, other roadside features or for users of the Infrastructure;",O&M
"Ensure vegetation beyond the shoulder edge does not:
- Impede drainage.",O&M
"Ensure vegetation beyond the shoulder edge does not:
- Cause sight distance obstructions on curves, intersections of highways, accesses; railway crossings and railway crossing approaches;",O&M
Ensure the safety of users of the Infrastructure in the event of a spill within rights-of-way involving hazardous substances in accordance with the requirements given in the specific requirements below.,O&M
"Ensure the night time retro-reflectivity of a thermoplastic longitudinal marking or any other thermoplastic marking under dry conditions shall exceed: 
- 180 millicandela•m-2•lux-1 for white markings",O&M
"Ensure the night time retro-reflectivity of a thermoplastic longitudinal marking or any other thermoplastic marking under dry conditions shall exceed: 
- 100 millicandela•m-2•lux-1 for yellow markings",O&M
"Ensure the night time retro-reflectivity of a longitudinal marking or any other marking under dry conditions shall exceed: 
- 200 millicandela•m-2•lux-1 for white markings",O&M
"Ensure the night time retro-reflectivity of a longitudinal marking or any other marking under dry conditions shall exceed: 
- 150 millicandelam-2•lux-1 for yellow markings",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Toxicity levels of herbicides being used;",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Safety precautions of handling the herbicide;",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Re-entry period;",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Protection of off-target vegetation (e.g. drift control, control of fire hazards, etc.);",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Other concerns.",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Impact on people and wildlife;",O&M
"Ensure that vegetation management personnel can provide information to property owners or other concerned parties on the following:
- Alternative methods considered;",O&M
Ensure that the vegetation management personnel have reviewed the Informational Package distributed by the Ministry prior to working on the site.,O&M
"Ensure that the vegetation management personnel can answer the following questions:
- Safety measures (including personal protective equipment, drift control, and control of other hazards):
     - Re-entry period, if applicable",O&M
"Ensure that the vegetation management personnel can answer the following questions:
- Safety measures (including personal protective equipment, drift control, and control of other hazards):
     - Rationale for vegetation control",O&M
"Ensure that the vegetation management personnel can answer the following questions:
- Describe the control methods being used (including herbicide trade name, active ingredients, and concentration if appropriate);",O&M
"Ensure that the vegetation management personnel can answer the following questions: 
- Safety measures (including personal protective equipment, drift control, and control of other hazards):
     - Be able to provide the Ministry contact person",O&M
Ensure that the root cause of pavement failure is determined and reasonable attempts are made to deal with the failure before commencing repairs.,O&M
"Ensure that the following information is available to the public:
- Specific site locations where herbicide application will take place (including maps, if requested) ",O&M
"Ensure that the following information is available to the public:
- Ministry of Highways and Infrastructure Vegetation Management Information brochure",O&M
Ensure that the edges of the patch that tie in elevation to existing pavements are feathered to an angle of no less than 30° from a line perpendicular to the centreline.,O&M
Ensure that temporary line markings bond to the surface and will last for up to 1 month or until the permanent markings are applied.,O&M
"Ensure that staff contact information is available to the Ministry, local governments and emergency service providers by March 31 annually and that notification will take place that may be required to respond to any and all emergencies.",O&M
Ensure that operational vehicles are licenced in the Province of Saskatchewan.,O&M
Ensure that load restriction signage is in place on all bridges with load restrictions. ,O&M
"Ensure that depth of snow accumulations on the full width of the travel lanes are below the maximum allowable accumulations as shown at all times, unless the visibility drops to less than 100 m, at such time, equipment will be removed from the road at the nearest safe location.

Location - Maximum Allowable Accumulation
- All main line - 40 mm",O&M
"Ensure that depth of snow accumulations on the full width of the travel lanes are below the maximum allowable accumulations as shown at all times, unless the visibility drops to less than 100 m, at such time, equipment will be removed from the road at the nearest safe location.

Location - Maximum Allowable Accumulation
- ramps - 40 mm",O&M
"Ensure that depth of snow accumulations on the full width of the travel lanes are below the maximum allowable accumulations as shown at all times, unless the visibility drops to less than 100 m, at such time, equipment will be removed from the road at the nearest safe location.

Location - Maximum Allowable Accumulation
- Paved Service and Roads - 80 mm",O&M
"Ensure that depth of snow accumulations on the full width of the travel lanes are below the maximum allowable accumulations as shown at all times, unless the visibility drops to less than 100 m, at such time, equipment will be removed from the road at the nearest safe location.

Location - Maximum Allowable Accumulation
- Paved Crossroads - 80 mm",O&M
"Ensure that an informational package (the “Informational Package”) provides the following information:
- The type and rational of herbicide selection for each specific site or group of sites;",O&M
"Ensure that an informational package (the “Informational Package”) provides the following information:
- Specific site locations where herbicide application will take place (including maps);",O&M
"Ensure that an informational package (the “Informational Package”) provides the following information:
- Short term and long term impacts of the vegetation management strategy on the environment and the public.",O&M
"Ensure that an informational package (the “Informational Package”) provides the following information:
- Scheduling of the work;",O&M
"Ensure that an informational package (the “Informational Package”) provides the following information:
- Rationale for selecting particular vegetation control methods at each particular site;",O&M
"Ensure that an informational package (the “Informational Package”) provides the following information:
- Ministry of Highways and Infrastructure Vegetation Management Information brochure;",O&M
Ensure that all pavement markings have a skid resistance of greater than 45 British Pendulum Number (BPN) units at any temperature.,O&M
Ensure that all operational vehicles have flashing beacons the same colour as the Ministry currently uses. All markings to meet or exceed current MHI standards.,O&M
"Ensure that all future operational vehicles have flashing beacons the same colour as the Ministry currently uses. All markings to meet or exceeds MHI standards, at the time.",O&M
Ensure pavement markings applied with thermoplastic materials have a minimum durability of 2 years from the time of application.,O&M
"Ensure pavement marking lines respect the following tolerances as listed.
Specified Line Width: Tolerance
- 200 mm Specified Line Width: -10 mm to +10 mm",O&M
"Ensure pavement marking lines respect the following tolerances as listed.
Specified Line Width: Tolerance
- 100 mm Specified Line Width: -5 mm to +10 mm ",O&M
"Ensure pavement marking direction dividing, lane dividing or continuity lines do not exceed a maximum dimensional length deviation of +/-100 mm from existing lengths of line.",O&M
Ensure flumes can carry water from drain pipes down fill slopes and away from bridge abutment fills and wing walls.,O&M
"Ensure consistency with finished patches in the travel lane or shoulder, and the adjacent pavement or shoulder.",O&M
"Ensure all operational vehicles and equipment is:
- Clearly identified as a Project Co maintenance vehicle.",O&M
"Ensure all operational vehicles and equipment is:
- Are all the same colour scheme (colour to be agreed with the Ministry).",O&M
"Emergency Response Plan
- June 1 of year 1
- Reissue when amendments are made",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Repairing or replacing critical regulatory signs (STOP and YIELD) or performing temporary repairs of signs.",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Debris Removal",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Repairing traffic signals and advanced warning devices, including without limitation:
   - Resetting signals if the lights are in flash mode;",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Repairing traffic signals and advanced warning devices, including without limitation:
   - Replacing burned-out bulbs;",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Repairing traffic signals and advanced warning devices, including without limitation:
      - When the lights are completely out of service, setting up portable STOP signs from all directions until permanent repairs occur; or",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Repairing traffic signals and advanced warning devices, including without limitation:
  - Establish traffic signal trouble call requirements",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Highway incidents",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Notification of and cooperation with the relevant emergency and/or regulatory authorities in the containment and clean-up of all spills, including those in ditches and ponds.",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Project Co shall also notify the Ministry of any spills within 24 hours of any occurance.",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Providing adequate marking of any conditions on the roadway surface or in the Road Right-of-Way which are a hazard to the travelling public, including:
  - Emergency repair and marking of unsafe or poor pavement conditions;",O&M
"Emergency maintenance activities, requiring Project Co’s immediate response by having representation within the Lands, on route to the emergency, within 30 minutes of becoming aware of, or of the time Project Co should have become aware of, include but are not limited to, the following:

- Providing adequate marking of any conditions on the roadway surface or in the Road Right-of-Way which are a hazard to the travelling public, including:
   - Emergency repair and/or marking of unsafe or poor bridge structure conditions.",O&M
Electronic versions of the OM&R Submittal shall identify the persons who initialled the revisions to the printed version of the OM&R Submittal.,O&M
Each OM&R Submittal package submitted by Project Co shall be accompanied by a completed TAF.,O&M
Dust impacting visibility or causing nuisance to adjacent properties shall be repaired within 4 hours of discovery.,O&M
"During the summer months, litter shall be collected in compliance with the minimum litter collection frequencies specified: 

Location: Minimum Frequency
- Ramps: every 30 d",O&M
"During the summer months, litter shall be collected in compliance with the minimum litter collection frequencies specified: 

Location: Minimum Frequency
- Paved Service Roads every: 60 d",O&M
"During the summer months, litter shall be collected in compliance with the minimum litter collection frequencies specified: 

Location: Minimum Frequency
- Paved Crossroads every: 60 d",O&M
"During the summer months, litter shall be collected in compliance with the minimum litter collection frequencies specified: 

Location: Minimum Frequency
- Mainline: every 30 d",O&M
"During the Operational Term, the CCTV images will be sent to the DMC.",O&M
"During the Operational Term Internal IMS Audits will be undertaken for SubProject Cos with a scope of OM&R Work in excess of $250,000 and shall take place at least once per year or as otherwise agreed in writing by the Ministry by writing at an alternative interval.",O&M
"Document traffic Incidents attended by Project Co, i.e. take photographs, diary notes, record Infrastructure conditions and locations relating to; and deliver such documents to the Ministry when requested, within 3 days of the date of request.",O&M
"Ditches shall be free from obstructions (e.g. fallen debris, debris dams, sloughs, vegetation etc.) which cover more than 30% of the ditch bottom and is 20 cm in height. All repairs shall be completed by October 31.",O&M
"Ditches or watercourses entering and/or leaving culverts shall not be allowed to erode, to depths greater than 100 mm below the elevation of the bottom of the culvert or bed load level over a 3 m length, unless this was part of the original watercourse design (plunge pools, habitat pools). ",O&M
Ditch grade line erosion over more than any 20 m length of the drainage ditch shall be corrected by October 31 in the year of discovery. All eroded areas are to be repaired or rehabilitated in a manner that meets the standards and prevents further or future erosion. Replanting of vegetation within restored areas shall occur during periods or seasons in accordance with planting specifications for the particular products being planted.,O&M
"Dirt, debris, sand and/or gravel on paved surfaces which poses a hazard to users of the Infrastructure shall be removed within 24 hours. ",O&M
"Develop and implement an emergency response plan (the “Emergency Response Plan”) as required that provides the basis for how Project Co responds to any and all emergencies, such as but not limited to the following:
- Floods;
- Mud and earth slides
- Extended winter storms;
- Toxic spills;
- Structural damage; and
- Traffic crashes, when requested by emergency personnel and/or where Project Co personnel are first to the emergency location.",O&M
Develop and implement a Safety Management and Intervention Plan (the “Safety Management and Implementation Plan”),O&M
Develop a Customer Care Plan and implement processes to all of its internal and external relationships for delivery of services throughout the Operational Term.,O&M
"Deteriorated bridge pilings and associated components where  maintenance and repair will not restore the original design function of the particular piling shall be replaced, as determined by the Bridge Structural Engineer; and,",O&M
Deploy resources to maintenance facilities at least 60 minutes in advance of a forecasted weather event.,O&M
"Delineators and all other sign face overlays, signs and/or sign systems shall be installed within 7 days of any major defect identification.",O&M
Deficiencies and movement of structures and their components shall be monitored and the Ministry notified of any hazardous or deficient conditions or potentially hazardous conditions that are not covered by this Agreement or this Section.,O&M
Damage to safety end treatments that reduces their safety effectiveness or restricts flow of the watercourse. ,O&M
"Damage to exposed ends of concrete or steel culverts affecting structural integrity, slope stability, flow capacity or durability of the culvert shall be repaired within 6 months of discovery. ",O&M
"Customer Satisfaction Survey
- June 1 of each year ",O&M
"Customer Care Plan
- June 1 annually",O&M
"Culverts experiencing frost heaving that creates a pavement bump, shoulder bump or step condition greater than 20 mm and/or alters the gradient of the drainage by more than one hundred 150 mm when measured with a 1.2 m straightedge (rut bar) will be corrected or repaired within 6 months of discovery. ",O&M
Culvert sections that have become separated or uncoupled shall be repaired or replaced within 6 months of discovery. ,O&M
Culvert inlets and outlets including plunge pools deformed by more than 25% of their original shape shall be repaired or replaced within 6 months of discovery. ,O&M
"Culvert aprons and headwalls which have been scoured over 20% of their area to depths greater than 100 mm below the invert of the culvert, damaged structurally or which have separated or moved from the culvert or the fill embankment by more than 50 mm shall be repaired or replaced within 6 months of discovery. ",O&M
Culture: Project Co shall act in the best interests of the Project.,O&M
"Cracked and broken curbs are to be repaired or replaced as required to provide a smooth, sound and interconnected curb within 30 days.",O&M
Correspondence related to OM&R Submittals shall reference the reference number and revision number.,O&M
"Control trees and brush in the vegetation zone when the maximum height of the trees and brush is reached as specified

Location - Vegetation zone distance from the shoulder edge where vegetation control is required: Vegetation control is required when trees and brush exceed this height within vegetation zone
- Main Line - To limit of right-of-way: 2.0 m",O&M
"Control trees and brush in the vegetation zone when the maximum height of the trees and brush is reached as specified

Location - Vegetation zone distance from the shoulder edge where vegetation control is required: Vegetation control is required when trees and brush exceed this height within vegetation zone
- Ramps - To limit of right-of-way: 2.0 m",O&M
"Conduct In-Service Road Safety Reviews, within 6 months of the second anniversary of Substantial Completion. The In-Service Road Safety Review shall be undertaken following the Canadian Road Safety Audit Guide published by the Transportation Association of Canada.",O&M
"Conduct In-Service Road Safety Reviews, within 6 months of the fifth anniversary of Substantial Completion. The In-Service Road Safety Review shall be undertaken following the Canadian Road Safety Audit Guide published by the Transportation Association of Canada.",O&M
Conduct a customer satisfaction survey that is to be undertaken by an independent certified agency with the questions / results provided to the Ministry annually.,O&M
Concrete barrier with damage in excess of 900 cm2 or where there is structural damage including cracking and/or breakage are to be replaced within 30 days.,O&M
Comply with U.S. Federal specification 595b White 17886 for the colour of white pavement markings.,O&M
"Comply with the tolerances outlined below, using a CIELAB colour scale (595b yellow 33538), for the colour of yellow pavement markings.  CIELAB is defined in ASTM D2244.

 L / a / b
Standard: 78.94 / 7.76 / 71.93
Maximum: 80.94 / 10.76 / 77.93
Minimum: 76.94 / 6.26 / 70.43

Note: Readings taken with Minolta CR-231 or CR-221 colour meter.",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Ramps
- Pot-holes in concrete and asphalt decks   
     - travel lane: 24h",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Ramps
- Pot-holes in concrete and asphalt decks   
     - remainder of deck: 3d",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Ramps
- Membrane deficiencies: 7d",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Paved Service Roads
- Pot-holes in concrete and asphalt decks   
     - travel lane: 3d",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Paved Service Roads
- Membrane deficiencies: 2m",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Mainline
- Pot-holes in concrete and asphalt decks   
     - travel lane: 24h",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Mainline
- Membrane deficiencies: 2d",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Crossroads
- Pot-holes in concrete and asphalt decks   
     - travel lane: 3d",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Crossroads
- Pot-holes in concrete and asphalt decks   
     - remainder of deck: 10d",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown.

Deck Deficiency: Crossroads
- Membrane deficiencies: 2m",O&M
"Complete the temporary repair of the following deficiencies within the maximum times shown .

Deck Deficiency: Mainline
- Pot-holes in concrete and asphalt decks   
     - remainder of deck: 3d",O&M
"Complete the replacement of damaged or leaking bridge joint seals within the maximum times shown.

Ramps
- 4m",O&M
"Complete the replacement of damaged or leaking bridge joint seals within the maximum times shown.

Paved Service Roads
- 6m",O&M
"Complete the replacement of damaged or leaking bridge joint seals within the maximum times shown.

Mainline
- 4m",O&M
"Complete the replacement of damaged or leaking bridge joint seals within the maximum times shown.

Crossroads
- 6m",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Ramps
- Sight Distance obstructions: 1d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Ramps
- Roadside and median barriers: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Ramps
- Railway Crossings and Railway Crossing Approaches: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Ramps
- medians: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Ramps
- Intersections: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Paved Service Roads
- Sight Distance obstructions: 3d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Paved Service Roads
- Roadside and median barriers: 3d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Paved Crossroads
- Sight Distance obstructions: 3d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Paved Crossroads
- Roadside and median barriers: 3d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Mainline
- Sight Distance obstructions: 1d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Mainline
- Roadside and median barriers: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Mainline
- Railway Crossings and Railway Crossing Approaches: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Mainline
- medians: 2d",O&M
"Complete the clearing of snow and ice on the Infrastructure, commencing from the time snow removal on adjacent highways is completed, within the times shown

Location: Mainline
- Intersections: 2d",O&M
"Complete the cleaning to the following bridge decks and sidewalks/cycleways in order to remove dirt, debris, and deleterious materials that are potentially hazardous for users of the Infrastructure within the maximum times shown.

Deck and Sidewalk Locations: Time To Complete
- All Structures: Once per year before June 30",O&M
Complete repairs to all fences along the Infrastructure within 7 days.,O&M
Complete repairs as soon as reasonably possible where structural damage requires complete re-construction of the pile bent or structure.,O&M
"Complete repair, replacement or anchoring of damaged, missing or loose grills, drains, catchbasins, drain pipes or flumes within 14 days or immediately if they are potentially hazardous.",O&M
